source	target	weight	episode
ADMIRAL ACKBAR	ADMIRAL STATURA	1	episode-7
ANAKIN (DW)	BAIL ORGANA	2	episode-3
BALA-TIK	BB-8	1	episode-7
ANAKIN (DW)	BERU	1	episode-2
ANAKIN (DW)	BOBA FETT	3	episode-5
ANAKIN (DW)	BOSS NASS	1	episode-1
ANAKIN (DW)	BRAVO THREE	1	episode-1
ANAKIN (DW)	BRAVO TWO	2	episode-1
BRAVO THREE	BRAVO TWO	2	episode-1
ADMIRAL ACKBAR	C-3PO	1	episode-6
ADMIRAL ACKBAR	C-3PO	1	episode-7
ADMIRAL STATURA	C-3PO	2	episode-7
ANAKIN (DW)	C-3PO	3	episode-1
ANAKIN (DW)	C-3PO	3	episode-2
ANAKIN (DW)	C-3PO	4	episode-3
ANAKIN (DW)	C-3PO	1	episode-5
BAIL ORGANA	C-3PO	3	episode-3
BB-8	C-3PO	5	episode-7
BERU	C-3PO	1	episode-2
BERU	C-3PO	2	episode-4
BIB FORTUNA	C-3PO	2	episode-6
BIGGS	C-3PO	1	episode-4
BOBA FETT	C-3PO	1	episode-5
BOUSHH	C-3PO	2	episode-6
BIGGS	CAMIE	2	episode-4
BAIL ORGANA	CAPTAIN ANTILLES	2	episode-3
C-3PO	CAPTAIN ANTILLES	1	episode-3
ANAKIN (DW)	CAPTAIN PANAKA	2	episode-1
BOSS NASS	CAPTAIN PANAKA	1	episode-1
ANAKIN (DW)	CAPTAIN TYPHO	2	episode-2
ANAKIN (DW)	CAPTAIN TYPHO	1	episode-3
C-3PO	CAPTAIN TYPHO	2	episode-3
ANAKIN (DW)	CHEWBACCA	1	episode-5
BALA-TIK	CHEWBACCA	1	episode-7
BB-8	CHEWBACCA	9	episode-7
BOBA FETT	CHEWBACCA	1	episode-5
C-3PO	CHEWBACCA	4	episode-4
C-3PO	CHEWBACCA	21	episode-5
C-3PO	CHEWBACCA	13	episode-6
C-3PO	CHEWBACCA	2	episode-7
CAPTAIN PHASMA	CHEWBACCA	1	episode-7
ANAKIN (DW)	CLIEGG	2	episode-2
BERU	CLIEGG	1	episode-2
C-3PO	CLIEGG	1	episode-2
ANAKIN (DW)	CLONE COMMANDER CODY	1	episode-3
ANAKIN (DW)	COUNT DOOKU (DT)	2	episode-2
ANAKIN (DW)	COUNT DOOKU (DT)	1	episode-3
C-3PO	DERLIN	1	episode-5
BAIL ORGANA	FANG ZAR	2	episode-3
ADMIRAL ACKBAR	FINN	1	episode-7
ADMIRAL STATURA	FINN	1	episode-7
BALA-TIK	FINN	1	episode-7
BB-8	FINN	15	episode-7
C-3PO	FINN	1	episode-7
CAPTAIN PHASMA	FINN	3	episode-7
CHEWBACCA	FINN	20	episode-7
DARTH MAUL	GENERAL CEEL	1	episode-1
ANAKIN (DW)	GENERAL GRIEVOUS	1	episode-3
CAPTAIN PHASMA	GENERAL HUX	1	episode-7
COLONEL DATOO	GENERAL HUX	1	episode-7
BAIL ORGANA	GIDDEAN DANU	1	episode-3
FANG ZAR	GIDDEAN DANU	1	episode-3
BIGGS	GOLD LEADER	1	episode-4
DODONNA	GOLD LEADER	1	episode-4
ANAKIN (DW)	GREEDO	1	episode-1
ADMIRAL ACKBAR	HAN	1	episode-6
ADMIRAL ACKBAR	HAN	1	episode-7
ADMIRAL STATURA	HAN	1	episode-7
ANAKIN (DW)	HAN	2	episode-5
BALA-TIK	HAN	2	episode-7
BB-8	HAN	10	episode-7
BOBA FETT	HAN	1	episode-5
BOUSHH	HAN	1	episode-6
C-3PO	HAN	6	episode-4
C-3PO	HAN	27	episode-5
C-3PO	HAN	18	episode-6
C-3PO	HAN	3	episode-7
CAPTAIN PHASMA	HAN	2	episode-7
CHEWBACCA	HAN	19	episode-4
CHEWBACCA	HAN	19	episode-5
CHEWBACCA	HAN	20	episode-6
CHEWBACCA	HAN	24	episode-7
FINN	HAN	23	episode-7
GREEDO	HAN	1	episode-4
ANAKIN (DW)	JABBA	1	episode-1
BIB FORTUNA	JABBA	1	episode-6
BOUSHH	JABBA	1	episode-6
C-3PO	JABBA	3	episode-6
FODE/BEED	JABBA	1	episode-1
HAN	JABBA	1	episode-4
BOBA FETT	JANGO FETT	3	episode-2
COUNT DOOKU (DT)	JANGO FETT	1	episode-2
ANAKIN (DW)	JAR JAR	8	episode-1
ANAKIN (DW)	JAR JAR	3	episode-2
ANAKIN (DW)	JAR JAR	1	episode-3
BAIL ORGANA	JAR JAR	1	episode-2
BOSS NASS	JAR JAR	2	episode-1
CAPTAIN PANAKA	JAR JAR	7	episode-1
CAPTAIN TYPHO	JAR JAR	1	episode-2
FODE/BEED	JAR JAR	2	episode-1
GENERAL CEEL	JAR JAR	1	episode-1
JABBA	JAR JAR	1	episode-1
ANAKIN (DW)	JERJERROD	1	episode-6
ELLO ASTY	JESS	2	episode-7
ANAKIN (DW)	JIRA	2	episode-1
ANAKIN (DW)	JOBAL	1	episode-2
ANAKIN (DW)	KI-ADI-MUNDI	2	episode-1
BAIL ORGANA	KI-ADI-MUNDI	1	episode-2
ANAKIN (DW)	KITSTER	3	episode-1
C-3PO	KITSTER	1	episode-1
JAR JAR	KITSTER	1	episode-1
CAPTAIN PHASMA	KYLO REN	1	episode-7
CHEWBACCA	KYLO REN	3	episode-7
FINN	KYLO REN	2	episode-7
GENERAL HUX	KYLO REN	5	episode-7
HAN	KYLO REN	3	episode-7
ADMIRAL ACKBAR	LANDO	5	episode-6
ANAKIN (DW)	LANDO	4	episode-5
BOBA FETT	LANDO	2	episode-5
C-3PO	LANDO	7	episode-5
C-3PO	LANDO	1	episode-6
CHEWBACCA	LANDO	9	episode-5
CHEWBACCA	LANDO	6	episode-6
HAN	LANDO	7	episode-5
HAN	LANDO	5	episode-6
